nombre,email,departamento,puesto,sueldo,antigüedad
Pili del Nieto,empleado0032@empresa-analitica.com,Operaciones,Coordinador,49666,2
Eugenio Royo Cruz,empleado0033@empresa-analitica.com,Marketing,Analista Digital,61052,14
Abril Lago Valle,empleado0034@empresa-analitica.com,Finanzas,Analista Financiero,58256,0
José Luis Camino Martín,empleado0035@empresa-analitica.com,Operaciones,Analista de Procesos,29507,8
María Fernanda Flor,empleado0036@empresa-analitica.com,Operaciones,Jefe de Proyecto,29310,9
Glauco Cuéllar Abascal,empleado0037@empresa-analitica.com,Marketing,Content Manager,51735,0
Etelvina Laura Aliaga Caparrós,empleado0038@empresa-analitica.com,Operaciones,Analista de Procesos,39261,5
Valeria Meléndez Heras,empleado0039@empresa-analitica.com,Finanzas,Contable,62979,9
Dionisio Bermúdez Boada,empleado0040@empresa-analitica.com,Operaciones,Analista de Procesos,61909,6
Sabina Bayón Casas,empleado0041@empresa-analitica.com,IT,DevOps,32587,0
Narciso Talavera Dalmau,empleado0042@empresa-analitica.com,Finanzas,Analista Financiero,54021,0
Juan Luis Rocha-Galán,empleado0043@empresa-analitica.com,Ventas,Jefe de Ventas,42153,7
Priscila de Mesa,empleado0044@empresa-analitica.com,Ventas,Comercial,59182,2
Nazaret Perea Ríos,empleado0045@empresa-analitica.com,Ventas,Account Manager,53849,2
Jennifer Carrillo,empleado0046@empresa-analitica.com,Finanzas,Contable,30414,15
Daniel de Neira,empleado0047@empresa-analitica.com,Finanzas,Contable,39370,13
Macario Grau Giménez,empleado0048@empresa-analitica.com,IT,Arquitecto de Software,35182,9
Andrés Felipe Barral Granados,empleado0049@empresa-analitica.com,Marketing,Community Manager,64590,11
Víctor Angulo Murillo,empleado0050@empresa-analitica.com,Marketing,Community Manager,51588,3
José Ángel Gárate Lopez,empleado0051@empresa-analitica.com,IT,Desarrollador,26196,10
Clotilde Catalán Suárez,empleado0052@empresa-analitica.com,Ventas,Account Manager,58301,7
Ruben del Ramírez,empleado0053@empresa-analitica.com,Finanzas,Contable,22471,2
Asdrubal Caballero,empleado0054@empresa-analitica.com,Operaciones,Analista de Procesos,25858,7
Felicidad Roda Reig,empleado0055@empresa-analitica.com,Ventas,Comercial,43654,2
Teresa Balaguer Cabello,empleado0056@empresa-analitica.com,Finanzas,Contable,40250,15
Heriberto Nicolau Canales,empleado0057@empresa-analitica.com,IT,Arquitecto de Software,30671,15
Clemente de Sanabria,empleado0058@empresa-analitica.com,IT,DevOps,48677,6
Héctor Español Lopez,empleado0059@empresa-analitica.com,Ventas,Comercial,50249,11
Diana Benet Salazar,empleado0060@empresa-analitica.com,Marketing,Analista Digital,52606,1
Ariel de Alcolea,empleado0061@empresa-analitica.com,Operaciones,Analista de Procesos,64348,3
Renato Guzmán Delgado,empleado0062@empresa-analitica.com,Ventas,Jefe de Ventas,44236,3
Julieta Teruel García,empleado0063@empresa-analitica.com,IT,Desarrollador,34465,14
Yaiza Barral Cózar,empleado0064@empresa-analitica.com,IT,DevOps,34025,8
Abril Portero Lara,empleado0065@empresa-analitica.com,Marketing,Content Manager,26940,14
Eloísa Rocha Torrecilla,empleado0066@empresa-analitica.com,Finanzas,Contable,25315,0
Claudio Martin Gelabert,empleado0067@empresa-analitica.com,Ventas,Comercial,32899,13
Luis Miguel Barrera Mir,empleado0068@empresa-analitica.com,Marketing,Analista Digital,36008,12
Amador Tapia Valverde,empleado0069@empresa-analitica.com,Ventas,Comercial,46836,0
Camila Barberá,empleado0070@empresa-analitica.com,Marketing,Analista Digital,51819,9
Anita Estevez,empleado0071@empresa-analitica.com,Marketing,Community Manager,58422,15
Manuel Bayo Gutierrez,empleado0072@empresa-analitica.com,IT,Desarrollador,41445,6
Azeneth Hoz Ariño,empleado0073@empresa-analitica.com,Ventas,Account Manager,57533,1
Anita Hortensia Yáñez Molina,empleado0074@empresa-analitica.com,Operaciones,Jefe de Proyecto,25746,1
Cristian Miralles-Gómez,empleado0075@empresa-analitica.com,Finanzas,Analista Financiero,54954,5
Hector Castro-Marín,empleado0076@empresa-analitica.com,Ventas,Account Manager,27250,5
Estela Belmonte Agustí,empleado0077@empresa-analitica.com,Ventas,Account Manager,26453,7
María Ángeles Cabo Beltrán,empleado0078@empresa-analitica.com,Marketing,Content Manager,59334,7
Clotilde del Cazorla,empleado0079@empresa-analitica.com,Finanzas,Controller,24604,2
Vera Bayona Hidalgo,empleado0080@empresa-analitica.com,Marketing,Community Manager,60251,10
Duplicado Test,empleado0001@empresa-analitica.com,IT,Desarrollador,35000,2
,incompleto@empresa.com,Ventas,,0,0
